                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0174,                0.58944,                0.91426,                0.89972,                0.65186,                0.75632,                0.51628,                   1.05,                0.62952,                0.95651,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.0034,                0.58429,                0.91172,                0.78238,                0.63489,                 0.7278,                 0.4915,                 1.0636,                0.66096,                0.96152,               0.000467,               0.000467,               0.000467
                     36,                0.98444,                0.58164,                0.91083,                0.79435,                0.69544,                0.75416,                 0.5134,                 1.0673,                 0.6524,                0.96984,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.0279,                0.59106,                 0.9104,                0.90788,                0.65612,                0.75377,                0.52232,                 1.0616,                0.66294,                0.96576,             0.00041041,             0.00041041,             0.00041041
                     38,                0.97902,                0.56369,                0.90793,                0.85305,                0.69044,                0.77198,                0.53419,                 1.0416,                0.60361,                0.95224,             0.00038211,             0.00038211,             0.00038211
                     39,                0.98231,                0.55547,                0.90618,                0.84851,                0.65526,                 0.7425,                0.50737,                 1.0361,                0.62098,                 0.9509,             0.00035382,             0.00035382,             0.00035382
                     40,                0.97331,                0.54969,                 0.9024,                0.85807,                0.65824,                0.72673,                0.49174,                 1.0642,                0.65068,                0.97218,             0.00032553,             0.00032553,             0.00032553
                     41,                0.94489,                0.52024,                0.89433,                 0.8536,                0.64661,                0.72692,                0.49834,                 1.0601,                0.64554,                0.97121,             0.00029723,             0.00029723,             0.00029723
                     42,                0.95929,                0.51443,                0.89966,                0.86374,                0.66334,                0.73698,                0.50266,                 1.0379,                0.65354,                0.95743,             0.00026894,             0.00026894,             0.00026894
                     43,                0.94399,                 0.5057,                0.90335,                0.87239,                0.65837,                0.73694,                0.50754,                 1.0593,                0.64777,                0.97044,             0.00024064,             0.00024064,             0.00024064
                     44,                0.93978,                0.50855,                0.89001,                0.85899,                0.64467,                0.71617,                0.48668,                 1.0538,                0.67188,                 0.9615,             0.00021235,             0.00021235,             0.00021235
                     45,                 0.9338,                0.50293,                0.89332,                0.81924,                0.66054,                0.73573,                0.50057,                 1.0425,                0.63671,                0.96224,             0.00018406,             0.00018406,             0.00018406
                     46,                0.92555,                 0.4931,                0.89193,                0.82564,                 0.6544,                0.73504,                0.50306,                 1.0508,                0.62726,                0.96227,             0.00015576,             0.00015576,             0.00015576
                     47,                0.92341,                0.48514,                0.89029,                0.85525,                 0.6736,                0.74268,                0.51101,                 1.0551,                0.62661,                0.96692,             0.00012747,             0.00012747,             0.00012747
                     48,                0.91317,                0.48412,                0.88384,                0.87569,                 0.6762,                0.74502,                0.51505,                 1.0525,                0.62646,                0.96698,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.91471,                0.48646,                0.88553,                  0.858,                0.66222,                0.73928,                0.51081,                 1.0388,                0.63029,                0.96204,             7.0878e-05,             7.0878e-05,             7.0878e-05
