                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8287,                 2.7047,                 1.2821,                0.98199,                0.11597,                0.25867,                0.14287,                 1.4001,                  2.649,                 1.0249,             0.00046526,             0.00046526,             0.00046526
                      1,                 1.4198,                  1.418,                 1.0279,                0.52672,                0.29848,                 0.3549,                0.21531,                 1.2904,                 1.6916,                 1.0531,             0.00092295,             0.00092295,             0.00092295
                      2,                 1.3215,                 1.2376,                 1.0408,                 0.4736,                0.35062,                0.38462,                0.23185,                   1.27,                 1.5211,                 1.0671,              0.0013618,              0.0013618,              0.0013618
                      3,                 1.3563,                 1.1437,                 1.0324,                0.82897,                0.36069,                0.39865,                0.22851,                 1.2475,                 1.4541,                 1.0506,              0.0013441,              0.0013441,              0.0013441
                      4,                 1.2804,                 1.0246,                 1.0002,                0.89024,                0.42103,                0.49805,                0.30164,                 1.2318,                 1.1834,                   1.04,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.2561,                 0.9795,                 1.0012,                0.49717,                0.48233,                0.49657,                0.31373,                 1.1725,                 1.1016,                 1.0134,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.2737,                0.94002,                0.99078,                0.66115,                0.56177,                0.61063,                0.36911,                 1.1764,                   1.03,                0.99137,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.2371,                0.89959,                0.98573,                0.65574,                 0.5742,                 0.6316,                0.38605,                 1.1371,                 1.0242,                0.99369,              0.0012592,              0.0012592,              0.0012592
                      8,                  1.226,                0.87417,                0.97162,                0.68374,                0.59111,                0.62563,                0.40488,                  1.152,                0.94127,                0.99825,              0.0012309,              0.0012309,              0.0012309
                      9,                  1.171,                0.81527,                0.95934,                0.66768,                0.51881,                0.57472,                0.36261,                 1.1453,                0.98514,                0.99352,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.1446,                0.80239,                0.95757,                0.64931,                0.59023,                 0.6148,                0.40208,                  1.102,                 0.8823,                0.97107,              0.0011744,              0.0011744,              0.0011744
