                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                 1.1732,                0.81037,                0.96656,                0.68048,                0.47496,                0.56754,                0.36269,                 1.1536,                0.96385,                0.99811,              0.0011461,              0.0011461,              0.0011461
                     12,                  1.209,                0.82546,                0.97476,                0.75132,                0.54268,                0.61837,                0.39492,                 1.1429,                0.93179,                0.99323,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.1663,                0.80486,                0.96193,                0.66588,                0.55897,                0.62201,                0.39461,                 1.2185,                 0.9099,                 1.0224,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.1625,                0.75928,                0.96143,                0.87513,                0.61497,                0.70385,                 0.4647,                 1.1091,                0.82432,                0.98044,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.1214,                  0.756,                0.95565,                0.73793,                0.67845,                0.70805,                0.46023,                 1.1074,                0.76775,                0.97524,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.1315,                0.72549,                0.95096,                0.78378,                0.60023,                0.67662,                0.44068,                 1.1263,                0.81838,                 0.9863,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.1611,                0.73439,                0.95642,                 0.8203,                0.66047,                0.70806,                0.45716,                 1.1131,                0.75464,                0.97805,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.1423,                0.71774,                0.94929,                0.69879,                0.71656,                  0.712,                0.47985,                 1.0878,                 0.7179,                0.96707,               0.000948,               0.000948,               0.000948
                     19,                 1.1064,                0.70713,                0.94984,                 0.7355,                0.57554,                0.62764,                0.41663,                 1.0902,                0.79728,                0.96824,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.0897,                0.68262,                0.94135,                0.75474,                0.64388,                0.68821,                0.46785,                 1.0916,                0.79815,                0.97805,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.0977,                0.67901,                 0.9428,                0.77998,                0.61084,                 0.7069,                0.46852,                 1.1066,                0.73702,                0.97887,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.0885,                0.69826,                 0.9408,                0.67438,                0.59007,                0.64439,                0.42802,                 1.0906,                0.78102,                0.96824,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.0804,                0.67459,                0.94402,                0.85689,                0.62452,                0.73034,                0.48601,                 1.1218,                0.73658,                0.98804,             0.00080653,             0.00080653,             0.00080653
                     24,                  1.086,                0.66662,                0.93373,                0.81275,                0.59407,                0.67883,                0.45758,                 1.0829,                0.76788,                0.98201,             0.00077823,             0.00077823,             0.00077823
                     25,                   1.05,                0.63575,                0.93576,                0.79201,                0.66155,                0.70705,                0.47354,                 1.1012,                 0.6955,                0.97398,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.0807,                0.65004,                0.94228,                 0.7397,                0.70102,                0.72969,                0.47269,                 1.1154,                0.67551,                0.97854,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.0631,                0.63626,                0.93269,                0.91192,                0.63744,                0.71333,                0.47494,                 1.1221,                0.70781,                0.98387,             0.00069335,             0.00069335,             0.00069335
                     28,                  1.051,                0.62396,                0.92753,                0.88315,                0.59216,                0.69082,                0.46541,                  1.076,                0.69503,                0.96496,             0.00066506,             0.00066506,             0.00066506
                     29,                 1.0259,                0.60308,                0.92737,                0.94223,                0.65451,                0.77375,                0.52833,                 1.0844,                 0.6255,                0.96304,             0.00063676,             0.00063676,             0.00063676
                     30,                 1.0202,                0.60948,                0.92378,                0.84901,                0.65854,                0.76302,                0.51775,                  1.082,                0.64542,                0.96955,             0.00060847,             0.00060847,             0.00060847
                     31,                 1.0526,                0.61958,                0.93001,                0.88105,                0.61794,                0.72039,                0.48894,                 1.0626,                0.70352,                 0.9581,             0.00058017,             0.00058017,             0.00058017
                     32,                 1.0378,                0.60969,                0.91721,                0.81553,                0.62566,                0.72001,                0.48751,                 1.0646,                0.68559,                0.96342,             0.00055188,             0.00055188,             0.00055188
                     33,                0.99328,                0.57934,                0.91547,                0.91635,                0.61036,                0.70596,                0.48248,                 1.0648,                0.67689,                0.95991,             0.00052359,             0.00052359,             0.00052359
                     34,                 1.0168,                0.59311,                0.91638,                0.79584,                0.70402,                0.75732,                0.50618,                 1.0585,                0.64539,                0.96233,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.0061,                0.58642,                0.91156,                0.90883,                0.63845,                0.73513,                0.50722,                 1.0647,                0.65934,                0.96333,               0.000467,               0.000467,               0.000467
                     36,                0.99026,                0.58006,                0.91287,                0.81592,                0.67363,                0.73544,                0.50288,                 1.0879,                0.69317,                0.97347,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.0328,                 0.5935,                0.91257,                0.76291,                0.71423,                0.74411,                0.51474,                 1.0567,                 0.6482,                0.95923,             0.00041041,             0.00041041,             0.00041041
                     38,                0.98514,                0.56612,                0.90944,                 0.7574,                0.68139,                0.74149,                0.50689,                 1.0506,                0.63515,                0.95791,             0.00038211,             0.00038211,             0.00038211
                     39,                0.97904,                 0.5565,                0.90647,                0.76937,                0.66706,                0.72184,                0.49086,                 1.0612,                0.65496,                0.96064,             0.00035382,             0.00035382,             0.00035382
                     40,                 0.9727,                0.54464,                0.90175,                0.84243,                0.65127,                0.72286,                0.49504,                 1.0593,                0.66119,                0.96506,             0.00032553,             0.00032553,             0.00032553
                     41,                0.94827,                0.51553,                0.89448,                0.79208,                0.68328,                0.73094,                0.48979,                 1.0636,                0.64292,                0.96042,             0.00029723,             0.00029723,             0.00029723
                     42,                 0.9614,                 0.5136,                0.90229,                0.84874,                0.67435,                0.73634,                0.50238,                 1.0489,                0.64075,                 0.9564,             0.00026894,             0.00026894,             0.00026894
                     43,                0.94412,                0.50086,                0.90434,                0.85925,                0.63039,                0.73844,                0.50195,                 1.0519,                0.62488,                0.96138,             0.00024064,             0.00024064,             0.00024064
                     44,                0.93452,                0.50455,                 0.8903,                0.86882,                0.65503,                0.74057,                0.50115,                 1.0537,                0.59972,                0.95662,             0.00021235,             0.00021235,             0.00021235
                     45,                0.93257,                0.50002,                0.89276,                0.85223,                 0.6238,                0.72028,                 0.4942,                 1.0467,                0.61956,                0.95681,             0.00018406,             0.00018406,             0.00018406
                     46,                0.92562,                0.49038,                0.89207,                0.84621,                0.63227,                0.72094,                0.50163,                  1.052,                0.60751,                0.95691,             0.00015576,             0.00015576,             0.00015576
                     47,                0.92395,                0.48241,                0.89104,                0.78877,                0.68327,                0.74321,                0.51412,                 1.0562,                0.58969,                0.95706,             0.00012747,             0.00012747,             0.00012747
                     48,                 0.9135,                0.48407,                0.88301,                 0.8883,                0.67265,                0.75863,                0.51909,                 1.0567,                0.58458,                0.95842,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.92227,                0.48672,                0.88705,                0.82441,                0.68427,                 0.7385,                0.50858,                 1.0342,                0.60104,                0.95198,             7.0878e-05,             7.0878e-05,             7.0878e-05
